1,-0.062791,-0.99211,0.18738,0.96858,-0.30902,-0.92978,0.42578,0.87631,-0.53583,
-0.80902,0.63742,0.72897,-0.72897,-0.63742,0.80902,0.53583,-0.87631,-0.42578,0.92978,
0.30902,-0.96858,-0.18738,0.99211,0.062791,-1,0.062791,0.99211,-0.18738,-0.96858,
0.30902,0.92978,-0.42578,-0.87631,0.53583,0.80902,-0.63742,-0.72897,0.72897,0.63742,
-0.80902,-0.53583,0.87631,0.42578,-0.92978,-0.30902,0.96858,0.18738,-0.99211,-0.062791,
1,-0.062791,-0.99211,0.18738,0.96858,-0.30902,-0.92978,0.42578,0.87631,-0.53583,
-0.80902,0.63742,0.72897,-0.72897,-0.63742,0.80902,0.53583,-0.87631,-0.42578,0.92978,
0.30902,-0.96858,-0.18738,0.99211,0.062791,-1,0.062791,0.99211,-0.18738,-0.96858,
0.30902,0.92978,-0.42578,-0.87631,0.53583,0.80902,-0.63742,-0.72897,0.72897,0.63742,
-0.80902,-0.53583,0.87631,0.42578,-0.92978,-0.30902,0.96858,0.18738,-0.99211,-0.062791,
1,-0.062791,-0.99211,0.18738,0.96858,-0.30902,-0.92978,0.42578,0.87631,-0.53583,
-0.80902,0.63742,0.72897,-0.72897,-0.63742,0.80902,0.53583,-0.87631,-0.42578,0.92978,
0.30902,-0.96858,-0.18738,0.99211,0.062791,-1,0.062791,0.99211,-0.18738,-0.96858,
0.30902,0.92978,-0.42578,-0.87631,0.53583,0.80902,-0.63742,-0.72897,0.72897,0.63742,
-0.80902,-0.53583,0.87631,0.42578,-0.92978,-0.30902,0.96858,0.18738,-0.99211,-0.062791,
1,-0.062791,-0.99211,0.18738,0.96858,-0.30902,-0.92978,0.42578,0.87631,-0.53583,
-0.80902,0.63742,0.72897,-0.72897,-0.63742,0.80902,0.53583,-0.87631,-0.42578,0.92978,
0.30902,-0.96858,-0.18738,0.99211,0.062791,-1,0.062791,0.99211,-0.18738,-0.96858,
0.30902,0.92978,-0.42578,-0.87631,0.53583,0.80902,-0.63742,-0.72897,0.72897,0.63742,
-0.80902,-0.53583,0.87631,0.42578,-0.92978,-0.30902,0.96858,0.18738,-0.99211,-0.062791
