0,0.99803,-0.12533,-0.98229,0.24869,0.95106,-0.36812,-0.90483,0.48175,0.84433,
-0.58779,-0.77051,0.68455,0.68455,-0.77051,-0.58779,0.84433,0.48175,-0.90483,-0.36812,
0.95106,0.24869,-0.98229,-0.12533,0.99803,0,-0.99803,0.12533,0.98229,-0.24869,
-0.95106,0.36812,0.90483,-0.48175,-0.84433,0.58779,0.77051,-0.68455,-0.68455,0.77051,
0.58779,-0.84433,-0.48175,0.90483,0.36812,-0.95106,-0.24869,0.98229,0.12533,-0.99803,
0,0.99803,-0.12533,-0.98229,0.24869,0.95106,-0.36812,-0.90483,0.48175,0.84433,
-0.58779,-0.77051,0.68455,0.68455,-0.77051,-0.58779,0.84433,0.48175,-0.90483,-0.36812,
0.95106,0.24869,-0.98229,-0.12533,0.99803,0,-0.99803,0.12533,0.98229,-0.24869,
-0.95106,0.36812,0.90483,-0.48175,-0.84433,0.58779,0.77051,-0.68455,-0.68455,0.77051,
0.58779,-0.84433,-0.48175,0.90483,0.36812,-0.95106,-0.24869,0.98229,0.12533,-0.99803,
0,0.99803,-0.12533,-0.98229,0.24869,0.95106,-0.36812,-0.90483,0.48175,0.84433,
-0.58779,-0.77051,0.68455,0.68455,-0.77051,-0.58779,0.84433,0.48175,-0.90483,-0.36812,
0.95106,0.24869,-0.98229,-0.12533,0.99803,0,-0.99803,0.12533,0.98229,-0.24869,
-0.95106,0.36812,0.90483,-0.48175,-0.84433,0.58779,0.77051,-0.68455,-0.68455,0.77051,
0.58779,-0.84433,-0.48175,0.90483,0.36812,-0.95106,-0.24869,0.98229,0.12533,-0.99803,
0,0.99803,-0.12533,-0.98229,0.24869,0.95106,-0.36812,-0.90483,0.48175,0.84433,
-0.58779,-0.77051,0.68455,0.68455,-0.77051,-0.58779,0.84433,0.48175,-0.90483,-0.36812,
0.95106,0.24869,-0.98229,-0.12533,0.99803,0,-0.99803,0.12533,0.98229,-0.24869,
-0.95106,0.36812,0.90483,-0.48175,-0.84433,0.58779,0.77051,-0.68455,-0.68455,0.77051,
0.58779,-0.84433,-0.48175,0.90483,0.36812,-0.95106,-0.24869,0.98229,0.12533,-0.99803
